zip4;county_name;county_coord
7410;Tianshui ;34.581879, 105.726071
7443;Jingchuan County;35.333815, 107.367898
7445;Zhenyuan County ;35.678065, 107.200725
7450;Qingyang ;35.710795, 107.643006
7452;Ning County ;35.508682, 107.940024
7453;Zhengning County;35.493883, 108.356834
7454;Heshui County ;35.828571, 108.014257
7511;Wuzhong ;37.997833, 106.198035
7565;Pengyang County;35.852788, 106.632987
8107;Ledu District;36.480909, 102.396017
8300;Ürümqi ;43.836491, 87.585383
8317;Jimsar County ;44.006536, 89.178002
8320;Shihezi ;44.308431, 86.082461
8332;Kuytun;44.429002, 84.896743
8366;Burqin County ;47.714379, 86.860289
