V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14
PINGTANG 	Zhangbu	392	203	189	356	193	163	2	2	          	0.56	1.03	          
PINGTANG 	Xiliang	648	338	310	566	291	275	2	2	          	0.35	0.68	          
LUODIAN 	Total	20385	10434	9951	17164	8970	8194	172	93	79	0.99	1.03	0.95
LUODIAN 	Longping	2556	1328	1228	1924	1044	880	98	49	49	4.85	4.48	5.27
LUODIAN 	Bianyang	1293	654	639	1056	558	498	39	23	16	3.56	3.96	3.11
LUODIAN 	Fengting	982	506	476	849	443	406	1	1	          	0.12	0.23	          
LUODIAN 	Moyang	828	417	411	664	340	324	          	          	          	          	          	          
LUODIAN 	Maojing	1051	526	525	876	445	431	1	1	          	0.11	0.22	          
LUODIAN 	Luokun	895	450	445	756	391	365	1	1	          	0.13	0.26	          
LUODIAN 	Hongshuihe	507	259	248	422	223	199	5	3	2	1.17	1.33	1
