V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
ZHONGFANG 	Haojiping	3540	1933	1607	523	204	319	14.77	10.55	19.85
YUANLING 	Total	473270	248601	224669	36366	8767	27599	7.68	3.53	12.28
YUANLING 	Yuanling	46900	23337	23563	2696	427	2269	5.75	1.83	9.63
YUANLING 	Mingxikou	9100	4846	4254	230	54	176	2.53	1.11	4.14
YUANLING 	Maxipu	12395	6433	5962	943	194	749	7.61	3.02	12.56
YUANLING 	Liangshuijing	11756	6206	5550	578	102	476	4.92	1.64	8.58
YUANLING 	Guanzhuang	16188	8490	7698	897	240	657	5.54	2.83	8.53
YUANLING 	Wuqiangxi	14094	7290	6804	544	159	385	3.86	2.18	5.66
YUANLING 	Woxi	9937	5040	4897	945	160	785	9.51	3.17	16.03
YUANLING 	Liulincha	7405	4034	3371	216	70	146	2.92	1.74	4.33
