Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;1994;1994;USD;157.6;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;1995;1995;USD;253;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;1996;1996;USD;335.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;1997;1997;USD;403.5;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;1998;1998;USD;508.8;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;1999;1999;USD;271.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;2000;2000;USD;285.4;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;2001;2001;USD;326.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;2002;2002;USD;266;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;2003;2003;USD;269.2;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;2004;2004;USD;304.4;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;2005;2005;USD;311.9;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;2006;2006;USD;324.3;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;2007;2007;USD;319.5;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;2008;2008;USD;368.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;2009;2009;USD;417.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;2010;2010;USD;480.1;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;2011;2011;USD;882.4;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;2012;2012;USD;927.7;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);187;Peas, dry;2013;2013;USD;734.4;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;1991;1991;USD;149.7;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;1992;1992;USD;152.9;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;1993;1993;USD;206;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;1994;1994;USD;157.6;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;1995;1995;USD;170.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;1996;1996;USD;128.6;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;1997;1997;USD;188.5;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;1998;1998;USD;195.4;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;1999;1999;USD;207.9;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2000;2000;USD;163.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2001;2001;USD;171.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2002;2002;USD;194.4;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2003;2003;USD;190.4;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2004;2004;USD;186.5;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2005;2005;USD;184.4;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2006;2006;USD;185.4;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2007;2007;USD;190.1;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2008;2008;USD;203.3;F;FAO estimate
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2009;2009;USD;202;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2011;2011;USD;743;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2012;2012;USD;733.8;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2013;2013;USD;466.5;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2014;2014;USD;819.3;;Official data
PP;Producer Prices - Annual;351;China;5532;Producer Price (USD/tonne);417;Peas, green;2015;2015;USD;818.6;;Official data
